external_id,reference,project,developer,unit_type_raw,bedrooms,bathrooms,area_sqm,price_omr,status,review_flag,source_tab,notes
MUB3,MUB3,Muscat Bay,Saraya Bandar Jissah,Apartment,2,,112.55,113555.0,available,false,main,unit no: 2 BR Type B-1-EC; sheet project: LUMA Residence; LUMA Residence mapped to Muscat Bay master plan; developer from project catalog
MUB06,MUB06,Muscat Bay,Saraya Bandar Jissah,Townhouse,3,3,195.46,191555.0,available,false,main,sheet project: LUMA Residence; LUMA Residence mapped to Muscat Bay master plan; developer from project catalog; +1 maid room (sheet beds '3+1')
MUB07,MUB07,Muscat Bay,Saraya Bandar Jissah,Townhouse,3,3,244.34,193555.0,available,false,main,sheet project: LUMA Residence; LUMA Residence mapped to Muscat Bay master plan; developer from project catalog; +1 maid room (sheet beds '3+1')
MUB08,MUB08,Muscat Bay,Saraya Bandar Jissah,Townhouse,3,3,265.08,196555.0,available,false,main,sheet project: LUMA Residence; LUMA Residence mapped to Muscat Bay master plan; developer from project catalog; +1 maid room (sheet beds '3+1')
MUB09,MUB09,Muscat Bay,Saraya Bandar Jissah,Townhouse,3,3,271.03,197555.0,available,false,main,sheet project: LUMA Residence; LUMA Residence mapped to Muscat Bay master plan; developer from project catalog; +1 maid room (sheet beds '3+1')
MUB5,MUB5,Muscat Bay,Saraya Bandar Jissah,Villa,3,3,271.03,197555.0,available,false,main,unit no: Z1 TH 039; sheet project: LUMA Residence; LUMA Residence mapped to Muscat Bay master plan; developer from project catalog; +1 maid room (sheet beds '3+1')
MUB2,MUB2,Muscat Bay,Saraya Bandar Jissah,Townhouse,3,3,242.17,199555.0,available,false,main,unit no: 3 BR TH Type B-EC; sheet project: LUMA Residence; LUMA Residence mapped to Muscat Bay master plan; developer from project catalog; +1 maid room (sheet beds '3+1')
MUB1,MUB1,Muscat Bay,Saraya Bandar Jissah,Villa,3,3,299.71,237555.0,available,false,main,unit no: 3 BR V Type B-EC; sheet project: LUMA Residence; LUMA Residence mapped to Muscat Bay master plan; developer from project catalog; +1 maid room (sheet beds '3+1')
MY2,MY2,AIDA,Dar Global / AIDA,Apartment,3,3,194.0,390550.0,available,false,main,sheet project: Marriot
MY1,MY1,AIDA,Dar Global / AIDA,Apartment,3,3,194.0,402505.0,available,false,main,sheet project: Marriot
MY4,MY4,AIDA,Dar Global / AIDA,Apartment,1,1,60.0,111170.0,available,false,main,sheet project: Marriot Golf Residences
MY3,MY3,AIDA,Dar Global / AIDA,Apartment,2,2,96.0,177430.0,available,false,main,sheet project: Marriot Golf Residences
MY5,MY5,AIDA,Dar Global / AIDA,Apartment,2,2,132.0,266520.0,available,false,main,sheet project: Marriot Golf Residences
_MAR1,_MAR1,AIDA,Dar Global / AIDA,Apartment,2,2,96.95,207273.0,available,false,main,unit no: MRA-3-301; sheet project: Marriott Residences
_MAR2,_MAR2,AIDA,Dar Global / AIDA,Apartment,3,4,194.47,422630.25,available,false,main,unit no: MRA-3-904; sheet project: Marriott Residences; +1 maid room (sheet beds '3+1')
MB8,MB8,Muscat Bay,Saraya Bandar Jissah,Apartment,2,3,200.0,200000.0,available,false,main,developer from project catalog
MB1,MB1,Muscat Bay,Saraya Bandar Jissah,Villa,5,6,750.35,950000.0,available,false,main,developer from project catalog
NHR1,NHR1,AIDA,Dar Global / AIDA,Apartment,1,1,42.51,82940.0,available,false,main,sheet project: Nickelodeon Hotels & Resorts
NHR4,NHR4,AIDA,Dar Global / AIDA,Apartment,1,1,40.51,82940.0,available,false,main,sheet project: Nickelodeon Hotels & Resorts
NHR5,NHR5,AIDA,Dar Global / AIDA,Apartment,1,1,40.51,86100.0,available,false,main,sheet project: Nickelodeon Hotels & Resorts
NHR6,NHR6,AIDA,Dar Global / AIDA,Apartment,1,1,44.29,95000.0,available,false,main,sheet project: Nickelodeon Hotels & Resorts
NHR7,NHR7,AIDA,Dar Global / AIDA,Apartment,1,1,44.29,95860.0,available,false,main,sheet project: Nickelodeon Hotels & Resorts
NHR8,NHR8,AIDA,Dar Global / AIDA,Apartment,1,1,57.32,122940.0,available,false,main,sheet project: Nickelodeon Hotels & Resorts
NHR9,NHR9,AIDA,Dar Global / AIDA,Apartment,1,1,57.32,124060.0,available,false,main,sheet project: Nickelodeon Hotels & Resorts
NHR10,NHR10,AIDA,Dar Global / AIDA,Apartment,1,1,57.32,127410.0,available,false,main,sheet project: Nickelodeon Hotels & Resorts
NHR2,NHR2,AIDA,Dar Global / AIDA,Apartment,2,2,69.73,135960.0,available,false,main,sheet project: Nickelodeon Hotels & Resorts
NHR3,NHR3,AIDA,Dar Global / AIDA,Apartment,3,3,154.39,325120.0,available,false,main,sheet project: Nickelodeon Hotels & Resorts
JS7,JS7,Jebel Sifah / Hawana Salalah,Muriya,Standalone Villa,3,3,525.0,189196.31,available,false,main,sheet project: Raya Villa; ref 'JS7' reused in sheet — dup dropped (main: Standalone Villa | Jebel Sifah / Hawana Salalah | 656.0 sqm | 212830.0 OMR); fix refs in tracker
JS8,JS8,Jebel Sifah / Hawana Salalah,Muriya,Standalone Villa,2,2,739.0,219800.0,available,false,main,sheet project: Raya Villa; ref 'JS8' reused in sheet — dup dropped (main: Apartment | Jebel Sifah / Hawana Salalah | 37.5 sqm | 44818.0 OMR); fix refs in tracker; ref 'JS8' reused in sheet — dup dropped (main: Apartment | Jebel Sifah / Hawana Salalah | 37.1 sqm | 45869.0 OMR); fix refs in tracker; ref 'JS8' reused in sheet — dup dropped (main: Apartment | Jebel Sifah / Hawana Salalah | 37.5 sqm | 46364.0 OMR); fix refs in tracker; ref 'JS8' reused in sheet — dup dropped (main: Apartment | Jebel Sifah / Hawana Salalah | 38.0 sqm | 46982.0 OMR); fix refs in tracker; ref 'JS8' reused in sheet — dup dropped (main: Apartment | Jebel Sifah / Hawana Salalah | 85.3 sqm | 90460.65 OMR); fix refs in tracker; ref 'JS8' reused in sheet — dup dropped (main: Apartment | Jebel Sifah / Hawana Salalah | 85.3 sqm | 91322.18 OMR); fix refs in tracker; ref 'JS8' reused in sheet — dup dropped (main: Apartment | Jebel Sifah / Hawana Salalah | 85.3 sqm | 93045.24 OMR); fix refs in tracker; ref 'JS8' reused in sheet — dup dropped (main: Apartment | Jebel Sifah / Hawana Salalah | 174.3 sqm | 96491.36 OMR); fix refs in tracker; ref 'JS8' reused in sheet — dup dropped (main: Apartment | Jebel Sifah / Hawana Salalah | 197.5 sqm | 98827.0 OMR); fix refs in tracker
HSH1,HSH1,Jebel Sifah / Hawana Salalah,Muriya,Apartment,1,1,,72852.0,available,false,main,unit no: RV40A; sheet project: Riviera Residences; no size in sheet
SAR2,SAR2,Sarooj Oasis,Sarooj Development,Apartment,2,3,109.0,86982.0,available,false,main,unit no: Type: 2 BHK – Type A
SHC27,SHC27,Sarooj Oasis,Sarooj Development,Villa,5,5,249.0,178000.0,available,false,main,
SHC7,SHC7,Sarooj Oasis,Sarooj Development,Villa,5,5,249.3,178000.0,available,false,main,ref 'SHC7' reused in sheet — dup dropped (main: Villa | Review — unmatched listings | 413.0 sqm | 310000.0 OMR); fix refs in tracker
JS9,JS9,Jebel Sifah / Hawana Salalah,Muriya,Apartment,2,2,184.6,109224.0,available,false,main,sheet project: Solaris Apartment
YIT8,YIT8,The Sustainable City — Yiti,Diamond Developers,Villa,4,4,256.5,241255.0,available,false,main,sheet project: Sustainable City; developer from project catalog
YIT9,YIT9,The Sustainable City — Yiti,Diamond Developers,Villa,4,4,257.84,281101.0,available,false,main,sheet project: Sustainable City; developer from project catalog
YIT10,YIT10,The Sustainable City — Yiti,Diamond Developers,Villa,4,6,286.94,326456.78,available,false,main,sheet project: Sustainable City; developer from project catalog
SCY1,SCY1,The Sustainable City — Yiti,Diamond Developers,Apartment,1,2,83.03,89451.0,available,false,main,unit no: APT-304; sheet project: Sustainable City Yiti; developer from project catalog
SCY2,SCY2,The Sustainable City — Yiti,Diamond Developers,Apartment,2,3,118.06,138493.0,available,false,main,unit no: APT-2D1; sheet project: Sustainable City Yiti; developer from project catalog
SCY3,SCY3,The Sustainable City — Yiti,Diamond Developers,Apartment,3,4,172.03,223705.0,available,false,main,unit no: APT-303; sheet project: Sustainable City Yiti; developer from project catalog; +1 maid room (sheet beds '3+1')
SCY4,SCY4,The Sustainable City — Yiti,Diamond Developers,Courtyard Villa,3,5,253.74,238747.0,available,false,main,unit no: Villa.305; sheet project: Sustainable City Yiti; developer from project catalog; +1 maid room (sheet beds '3+1')
SCY5,SCY5,The Sustainable City — Yiti,Diamond Developers,Courtyard Villa,4,6,263.83,264711.0,available,false,main,unit no: Villa.536; sheet project: Sustainable City Yiti; developer from project catalog; +1 maid room (sheet beds '4+1')
YIT3,YIT3,The Sustainable City — Yiti,Diamond Developers,Villa,4,4,260.11,274596.0,available,false,main,sheet project: Sustainable City Yiti; developer from project catalog
SCY6,SCY6,The Sustainable City — Yiti,Diamond Developers,Garden Villa,4,6,506.05,455618.0,available,false,main,unit no: Villa.802; sheet project: Sustainable City Yiti; developer from project catalog; +1 maid room (sheet beds '4+1')
TGE1,TGE1,AIDA,Dar Global / AIDA,Apartment,1,1,59.9,93000.0,available,false,main,unit no: TGB-1-112; sheet project: The Great Escape; Owner (Asil Selling Her Aprtmnt From Aida): +90 553 796 50 77; ref 'TGE1' reused in sheet — dup dropped (main_tab2: Apartment | AIDA | 59.9 sqm | 80461.5 OMR); fix refs in tracker
AI9,AI9,AIDA,Dar Global / AIDA,Villa,3,3,120.0,455000.0,available,false,main,sheet project: Trump Cliff Villas; Trump = AIDA branded residence (per catalog)
AI10,AI10,AIDA,Dar Global / AIDA,Villa,4,4,170.0,514755.0,available,false,main,sheet project: Trump Cliff Villas; Trump = AIDA branded residence (per catalog)
AI8,AI8,AIDA,Dar Global / AIDA,Villa,3,3,166.0,716000.0,available,false,main,sheet project: Trump Cliff Villas; Trump = AIDA branded residence (per catalog)
TGV3,TGV3,AIDA,Dar Global / AIDA,Villa,3,3,128.0,385380.0,available,false,main,sheet project: Trump Golf Villa; Trump = AIDA branded residence (per catalog)
TGV2,TGV2,AIDA,Dar Global / AIDA,Villa,5,5,405.0,905000.0,available,false,main,sheet project: Trump Golf Villa; Trump = AIDA branded residence (per catalog)
TGV1,TGV1,AIDA,Dar Global / AIDA,Villa,5,5,405.0,922000.0,available,false,main,sheet project: Trump Golf Villa; Trump = AIDA branded residence (per catalog)
SHC8,SHC8,Review — unmatched listings,,Apartment,3,3,150.0,145000.0,hold,true,main,sheet project: Villa Coconut; project 'Villa Coconut' not in project catalog — review
WAZ5,WAZ5,Wadi Zaha,Al Ahly Sabbour,Apartment,0,1,56.0,49875.0,available,false,main,unit no: E26-D408
SHC25,SHC25,Wadi Zaha,Al Ahly Sabbour,Apartment,1,2,70.0,58151.28,available,false,main,
SHC23,SHC23,Wadi Zaha,Al Ahly Sabbour,Apartment,1,2,70.0,61799.06,available,false,main,
SHC21,SHC21,Wadi Zaha,Al Ahly Sabbour,Apartment,1,2,70.0,63661.9,available,false,main,
WAZ1,WAZ1,Wadi Zaha,Al Ahly Sabbour,Apartment,1,2,80.0,65008.0,available,false,main,unit no: E26-B401
SHC19,SHC19,Wadi Zaha,Al Ahly Sabbour,Apartment,2,3,70.0,81375.84,available,false,main,
SHC30,SHC30,Wadi Zaha,Al Ahly Sabbour,Apartment,2,3,90.0,82948.0,available,false,main,sheet project: Wadi ZAha
SHC24,SHC24,Wadi Zaha,Al Ahly Sabbour,Apartment,2,3,90.0,86088.48,available,false,main,ref 'SHC24' reused in sheet — dup dropped (main: Apartment | Yenaier Residences / Hay Al We'am | 95.0 sqm | 59296.0 OMR); fix refs in tracker
SHC22,SHC22,Wadi Zaha,Al Ahly Sabbour,Apartment,3,5,110.0,109079.81,available,false,main,
WAZ2,WAZ2,Wadi Zaha,Al Ahly Sabbour,Apartment,3,3,175.0,113636.0,available,false,main,unit no: E26-B501
SHC18,SHC18,Wadi Zaha,Al Ahly Sabbour,Apartment,3,5,110.0,114137.1,available,false,main,
WAZ3,WAZ3,Wadi Zaha,Al Ahly Sabbour,Penthouse Apartmnet,2,4,163.0,148313.0,available,false,main,unit no: E26-D601
SHC31,SHC31,Wadi Zaha,Al Ahly Sabbour,Apartment,3,5,120.0,158186.0,available,false,main,sheet project: Wadi ZAha
HAS6,HAS6,Wadi Zaha,Al Ahly Sabbour,Apartment,3,5,120.0,160491.24,available,false,main,
SHC15,SHC15,Wadi Zaha,Al Ahly Sabbour,Apartment,3,5,120.0,161295.75,available,false,main,
SHC28,SHC28,Wadi Zaha,Al Ahly Sabbour,Villa,3,3,210.0,169000.0,available,false,main,
SHC17,SHC17,Wadi Zaha,Al Ahly Sabbour,Townhouse,3,5,120.0,184550.63,available,false,main,
SHC13,SHC13,Wadi Zaha,Al Ahly Sabbour,Villa,4,4,380.0,340000.0,available,false,main,
SHC16,SHC16,Wadi Zaha,Al Ahly Sabbour,Villa,4,6,140.0,340016.04,available,false,main,
WAZ4,WAZ4,Wadi Zaha,Al Ahly Sabbour,Lavish Villa,4,7,482.57,345549.0,available,false,main,unit no: E24-V001; +2 extra room(s) (sheet beds '4+2')
SHC29,SHC29,Yenaier Residences / Hay Al We'am,Adrak / Adanté,Apartment,3,3,193.0,120987.0,available,false,main,sheet project: Yenaier Residence; developer from project catalog
SHC20,SHC20,Yenaier Residences / Hay Al We'am,Adrak / Adanté,Apartment,0,1,72.0,46650.0,available,false,main,sheet project: Yenaier Residence; developer from project catalog
SHC26,SHC26,Yenaier Residences / Hay Al We'am,Adrak / Adanté,Apartment,2,2,157.0,98568.0,available,false,main,sheet project: Yenaier Residence; developer from project catalog
SHC11,SHC11,Yenaier Residences / Hay Al We'am,Adrak / Adanté,Apartment,3,2,196.0,110000.0,available,false,main,sheet project: Yenaier Residence; developer from project catalog
YEN1,YEN1,Yenaier Residences / Hay Al We'am,Adrak / Adanté,Apartment,0,1,72.0,52647.0,available,false,main,unit no: ID:100.L1.SD.04; sheet project: Yenaier Residence; developer from project catalog
YEN2,YEN2,Yenaier Residences / Hay Al We'am,Adrak / Adanté,Apartment,1,1,95.0,69855.0,available,false,main,unit no: ID:100.L1.1BHK.06; sheet project: Yenaier Residence; developer from project catalog
YEN3,YEN3,Yenaier Residences / Hay Al We'am,Adrak / Adanté,Apartment,2,2,139.0,102127.0,available,false,main,unit no: ID:100.L1.2BHK.05; sheet project: Yenaier Residence; developer from project catalog
YEN4,YEN4,Yenaier Residences / Hay Al We'am,Adrak / Adanté,Apartment,3,3,676.0,506077.0,available,false,main,"unit no: ID:100.PH.01; sheet project: Yenaier Residence; developer from project catalog; also in developer price list as ID:100.PH.01 (Sky Palace, sellable 1136.0 sqm)"
UNMATCHED-001,UNMATCHED-001,Review — unmatched listings,,Elite Ads,,,,,hold,true,dubizzle_ads,"Dubizzle-only ad — no unit ref; review before selling; ad slot: Elite Ads x8, 10days; no price in sheet; unmappable sheet type 'Elite Ads' — defaulted to apartment"
UNMATCHED-002,UNMATCHED-002,Review — unmatched listings,,Feature Ads,,,,,hold,true,dubizzle_ads,"Dubizzle-only ad — no unit ref; review before selling; ad slot: Feature Ads x37, 30days; no price in sheet; unmappable sheet type 'Feature Ads' — defaulted to apartment"
UNMATCHED-003,UNMATCHED-003,Review — unmatched listings,,Premium Ads,,,,,hold,true,dubizzle_ads,"Dubizzle-only ad — no unit ref; review before selling; ad slot: Premium Ads x132, 30days; no price in sheet; unmappable sheet type 'Premium Ads' — defaulted to apartment"
UNMATCHED-004,UNMATCHED-004,Review — unmatched listings,,Elite,,,,,hold,true,dubizzle_ads,"Dubizzle-only ad — no unit ref; review before selling; ad slot: Elite x38 (new package, expiry Feb 2027); no price in sheet; unmappable sheet type 'Elite' — defaulted to apartment"
UNMATCHED-005,UNMATCHED-005,Review — unmatched listings,,Feature,,,,,hold,true,dubizzle_ads,"Dubizzle-only ad — no unit ref; review before selling; ad slot: Feature x225 (new package, expiry Feb 2027); no price in sheet; unmappable sheet type 'Feature' — defaulted to apartment"
UNMATCHED-006,UNMATCHED-006,Review — unmatched listings,,Premium,,,,,hold,true,dubizzle_ads,"Dubizzle-only ad — no unit ref; review before selling; ad slot: Premium x960 (new package, expiry Feb 2027); no price in sheet; unmappable sheet type 'Premium' — defaulted to apartment"
SAR1,SAR1,Sarooj Oasis,Sarooj Development,Apartment,1,2,66.0,52668.0,available,false,sarooj_tab,unit no: Type: 1 BHK – Type A; website not deleted
ID:100.L1.3BHK.02,ID:100.L1.3BHK.02,Yenaier Residences / Hay Al We'am,Adrak / Adanté,Sky Villa,3,,196.0,110640.0,available,false,sky_price_list,"project inferred: Yenaier Residence (ID:100.* scheme matches main-tab YEN refs; ID:100.PH.01 price equals YEN4); Level 1; BUA 130.0 + terrace 66.0 = sellable 196.0 sqm; second (current) list price 116,172 OMR — first price column used; dub 3.10.2026"
ID:100.L1.3BHK.04,ID:100.L1.3BHK.04,Yenaier Residences / Hay Al We'am,Adrak / Adanté,Sky Villa,3,,190.0,115044.0,available,false,sky_price_list,"project inferred: Yenaier Residence (ID:100.* scheme matches main-tab YEN refs; ID:100.PH.01 price equals YEN4); Level 1; BUA 135.0 + terrace 55.0 = sellable 190.0 sqm; second (current) list price 120,796 OMR — first price column used; dub 3.10.2026"
ID:100.L1.2BHK.07,ID:100.L1.2BHK.07,Yenaier Residences / Hay Al We'am,Adrak / Adanté,Sky Residence,2,,151.0,82235.0,available,false,sky_price_list,"project inferred: Yenaier Residence (ID:100.* scheme matches main-tab YEN refs; ID:100.PH.01 price equals YEN4); Level 1; BUA 97.0 + terrace 54.0 = sellable 151.0 sqm; second (current) list price 86,347 OMR — first price column used; dub 3.10.2026; sheet type 'Sky Residence' mapped to apartment"
ID:100.L1.2BHK.10,ID:100.L1.2BHK.10,Yenaier Residences / Hay Al We'am,Adrak / Adanté,Sky Residence,2,,153.0,90301.0,available,false,sky_price_list,"project inferred: Yenaier Residence (ID:100.* scheme matches main-tab YEN refs; ID:100.PH.01 price equals YEN4); Level 1; BUA 106.0 + terrace 47.0 = sellable 153.0 sqm; second (current) list price 94,817 OMR — first price column used; dub 3.10.2026; sheet type 'Sky Residence' mapped to apartment"
ID:100.L1.SD.05,ID:100.L1.SD.05,Yenaier Residences / Hay Al We'am,Adrak / Adanté,Loggia Studio,0,,75.0,46827.0,available,false,sky_price_list,"project inferred: Yenaier Residence (ID:100.* scheme matches main-tab YEN refs; ID:100.PH.01 price equals YEN4); Level 1; BUA 55.0 + terrace 20.0 = sellable 75.0 sqm; second (current) list price 49,168 OMR — first price column used; dub 3.11.2026"
ID:100.L2.3BHK.04,ID:100.L2.3BHK.04,Yenaier Residences / Hay Al We'am,Adrak / Adanté,Sky Villa,3,,190.0,115044.0,available,false,sky_price_list,"project inferred: Yenaier Residence (ID:100.* scheme matches main-tab YEN refs; ID:100.PH.01 price equals YEN4); Level 2; BUA 135.0 + terrace 55.0 = sellable 190.0 sqm; second (current) list price 120,796 OMR — first price column used; dub 3.11.2026"
